Timestamp,Humidity (%),Temperature (°C)
2026-07-30 18:06:30,54.70, 19.20
2026-07-30 18:06:45,54.50, 18.80
2026-07-30 18:07:00,55.30, 18.50
2026-07-30 18:07:15,55.30, 18.20
2026-07-30 18:07:30,55.90, 17.90
2026-07-30 18:07:45,56.40, 17.60
2026-07-30 18:08:00,56.60, 17.50
2026-07-30 18:08:15,56.90, 17.30
2026-07-30 18:08:30,57.10, 17.10
2026-07-30 18:08:45,57.20, 16.90
2026-07-30 18:09:00,57.30, 16.70
2026-07-30 18:09:15,57.50, 16.60
2026-07-30 18:09:30,57.60, 16.40
2026-07-30 18:09:45,57.30, 16.30
2026-07-30 18:10:00,57.60, 16.10
2026-07-30 18:10:15,57.90, 16.00
2026-07-30 18:10:30,58.00, 15.90
2026-07-30 18:10:45,58.10, 15.80
2026-07-30 18:11:00,58.10, 15.80
2026-07-30 18:11:15,58.10, 15.70
2026-07-30 18:11:30,58.00, 15.70
2026-07-30 18:11:45,58.00, 15.60
2026-07-30 18:12:00,58.10, 15.50
2026-07-30 18:12:15,58.10, 15.50
2026-07-30 18:12:30,58.20, 15.40
2026-07-30 18:12:45,58.20, 15.40
2026-07-30 18:13:00,58.10, 15.30
2026-07-30 18:13:15,58.20, 15.30
2026-07-30 18:13:30,58.10, 15.30
2026-07-30 18:13:45,58.10, 15.20
2026-07-30 18:14:00,58.20, 15.20
2026-07-30 18:14:15,58.30, 15.00
2026-07-30 18:14:30,58.50, 15.00
2026-07-30 18:14:45,58.80, 14.90
2026-07-30 18:15:00,58.90, 14.80
2026-07-30 18:15:15,58.90, 14.80
2026-07-30 18:15:30,58.80, 14.80
2026-07-30 18:15:45,58.70, 14.80
2026-07-30 18:16:00,59.10, 14.80
2026-07-30 18:16:15,59.00, 14.90
2026-07-30 18:16:30,58.80, 15.00
2026-07-30 18:16:45,58.70, 15.20
2026-07-30 18:17:00,58.40, 15.40
2026-07-30 18:17:15,57.90, 15.60
2026-07-30 18:17:30,57.60, 15.70
2026-07-30 18:17:45,57.30, 15.90
2026-07-30 18:18:00,56.90, 16.10
2026-07-30 18:18:15,56.60, 16.20
2026-07-30 18:18:30,56.30, 16.40
2026-07-30 18:18:45,56.10, 16.60
2026-07-30 18:19:00,55.90, 16.70
2026-07-30 18:19:15,55.60, 16.90
2026-07-30 18:19:30,55.30, 17.00
2026-07-30 18:19:45,55.20, 17.20
2026-07-30 18:20:00,54.90, 17.30
2026-07-30 18:20:15,54.70, 17.40
2026-07-30 18:20:30,54.60, 17.50
2026-07-30 18:20:45,54.30, 17.60
2026-07-30 18:21:00,54.10, 17.70
2026-07-30 18:21:15,54.00, 17.90
2026-07-30 18:21:31,53.80, 18.00
2026-07-30 18:21:46,53.60, 18.00
2026-07-30 18:22:01,53.50, 18.10
2026-07-30 18:22:16,53.30, 18.20
2026-07-30 18:22:31,53.10, 18.30
2026-07-30 18:22:46,53.00, 18.30
2026-07-30 18:23:01,52.80, 18.40
2026-07-30 18:23:16,52.80, 18.50
2026-07-30 18:23:31,52.80, 18.50
2026-07-30 18:23:46,52.70, 18.60
2026-07-30 18:24:01,52.70, 18.60
2026-07-30 18:24:16,52.70, 18.70
2026-07-30 18:24:31,52.80, 18.70
2026-07-30 18:24:46,52.70, 18.80
2026-07-30 18:25:01,52.60, 18.80
2026-07-30 18:25:16,52.50, 18.80
2026-07-30 18:25:31,52.40, 18.90
2026-07-30 18:25:46,52.40, 18.90
2026-07-30 18:26:01,52.20, 18.90
2026-07-30 18:26:16,52.20, 19.00
2026-07-30 18:26:31,52.10, 19.00
2026-07-30 18:26:46,52.20, 19.00
2026-07-30 18:27:01,52.30, 19.00
2026-07-30 18:27:16,52.30, 19.00
2026-07-30 18:27:31,52.30, 19.10
2026-07-30 18:27:46,52.30, 19.10
2026-07-30 18:28:01,52.00, 19.10
2026-07-30 18:28:16,52.20, 19.10
2026-07-30 18:28:31,52.30, 19.20
2026-07-30 18:28:46,52.20, 19.20
2026-07-30 18:29:01,52.20, 19.20
2026-07-30 18:29:16,52.20, 19.20
2026-07-30 18:29:31,52.30, 19.20
2026-07-30 18:29:46,52.20, 19.20
2026-07-30 18:30:01,52.40, 19.30
2026-07-30 18:30:16,52.40, 19.30
2026-07-30 18:30:31,52.40, 19.30
2026-07-30 18:30:46,52.30, 19.30
2026-07-30 18:31:01,52.30, 19.30
2026-07-30 18:31:16,52.30, 19.30
2026-07-30 18:31:31,52.50, 19.40
2026-07-30 18:31:46,52.50, 19.40
2026-07-30 18:32:01,52.70, 19.40
2026-07-30 18:32:16,52.30, 19.40
2026-07-30 18:32:31,52.30, 19.40
2026-07-30 18:32:46,52.40, 19.40
2026-07-30 18:33:01,52.50, 19.40
2026-07-30 18:33:16,52.50, 19.40
2026-07-30 18:33:31,52.50, 19.40
2026-07-30 18:33:46,52.50, 19.40
2026-07-30 18:34:01,52.70, 19.50
2026-07-30 18:34:16,52.60, 19.50
2026-07-30 18:34:31,52.60, 19.50
2026-07-30 18:34:46,62.80, 19.50
2026-07-30 18:35:01,62.50, 19.50
2026-07-30 18:35:16,61.70, 19.60
2026-07-30 18:35:31,61.90, 19.60
2026-07-30 18:35:46,62.70, 19.60
2026-07-30 18:36:01,61.80, 19.60
2026-07-30 18:36:16,61.00, 19.60
2026-07-30 18:36:31,60.20, 19.60
2026-07-30 18:36:46,59.30, 19.70
2026-07-30 18:37:01,59.10, 19.70
2026-07-30 18:37:16,59.20, 19.80
2026-07-30 18:37:31,58.60, 19.90
2026-07-30 18:37:46,58.00, 20.00
2026-07-30 18:38:01,57.80, 20.00
2026-07-30 18:38:16,57.10, 20.10
2026-07-30 18:38:31,56.80, 20.10
2026-07-30 18:38:46,56.60, 20.20
2026-07-30 18:39:01,56.70, 20.20
2026-07-30 18:39:16,56.70, 20.20
2026-07-30 18:39:31,56.40, 20.20
2026-07-30 18:39:46,56.50, 20.20
2026-07-30 18:40:01,56.30, 20.20
2026-07-30 18:40:16,56.80, 20.20
2026-07-30 18:40:31,56.70, 20.20
2026-07-30 18:40:46,56.80, 20.20
2026-07-30 18:41:01,56.50, 20.20
2026-07-30 18:41:16,56.30, 20.20
2026-07-30 18:41:31,56.20, 20.20
2026-07-30 18:41:46,56.20, 20.20
2026-07-30 18:42:01,56.30, 20.20
2026-07-30 18:42:16,56.30, 20.30
2026-07-30 18:42:31,56.10, 20.30
2026-07-30 18:42:46,56.10, 20.30
2026-07-30 18:43:01,56.00, 20.30
2026-07-30 18:43:16,56.00, 20.40
2026-07-30 18:43:31,56.00, 20.40
2026-07-30 18:43:46,56.80, 20.40
2026-07-30 18:44:01,56.20, 20.40
2026-07-30 18:44:16,55.90, 20.50
2026-07-30 18:44:31,55.70, 20.50
2026-07-30 18:44:46,55.60, 20.60
2026-07-30 18:45:01,55.50, 20.60
2026-07-30 18:45:16,55.40, 20.70
2026-07-30 18:45:31,55.40, 20.70
2026-07-30 18:45:46,55.30, 20.70
2026-07-30 18:46:01,55.20, 20.80
2026-07-30 18:46:16,55.00, 20.80
2026-07-30 18:46:31,55.10, 20.90
2026-07-30 18:46:46,55.50, 20.90
2026-07-30 18:47:01,55.10, 20.90
2026-07-30 18:47:16,54.90, 21.00
2026-07-30 18:47:31,54.80, 21.00
2026-07-30 18:47:46,54.60, 21.10
2026-07-30 18:48:01,54.50, 21.10
2026-07-30 18:48:16,54.50, 21.10
